sample_id,file,scenario_type,kind,idx,failed_u,failed_v,coverage_fixed_%,coverage_reopt_%,delta_pmus,components
intact,samples\intact.npz,intact,,,,,100.0,100.0,0.0,1
line_0_0,samples\line_0_0.npz,faulted,line,0,0,1,100.0,100.0,0.0,1
line_1_1,samples\line_1_1.npz,faulted,line,1,0,2,100.0,100.0,0.0,1
line_2_2,samples\line_2_2.npz,faulted,line,2,3,4,100.0,100.0,0.0,1
line_3_3,samples\line_3_3.npz,faulted,line,3,2,4,100.0,100.0,0.0,1
line_4_4,samples\line_4_4.npz,faulted,line,4,4,5,99.15254237288136,100.0,1.0,1
line_5_5,samples\line_5_5.npz,faulted,line,5,5,6,100.0,100.0,0.0,1
line_6_6,samples\line_6_6.npz,faulted,line,6,7,8,100.0,100.0,0.0,2
line_7_7,samples\line_7_7.npz,faulted,line,7,8,9,99.15254237288136,100.0,1.0,2
line_8_8,samples\line_8_8.npz,faulted,line,8,3,10,100.0,100.0,0.0,1
line_9_9,samples\line_9_9.npz,faulted,line,9,4,10,100.0,100.0,0.0,1
line_10_10,samples\line_10_10.npz,faulted,line,10,10,11,100.0,100.0,0.0,1
line_11_11,samples\line_11_11.npz,faulted,line,11,1,11,100.0,100.0,0.0,1
line_12_12,samples\line_12_12.npz,faulted,line,12,2,11,100.0,100.0,0.0,1
line_13_13,samples\line_13_13.npz,faulted,line,13,6,11,99.15254237288136,100.0,1.0,1
line_14_14,samples\line_14_14.npz,faulted,line,14,10,12,99.15254237288136,100.0,0.0,1
line_15_15,samples\line_15_15.npz,faulted,line,15,11,13,99.15254237288136,100.0,0.0,1
line_16_16,samples\line_16_16.npz,faulted,line,16,12,14,100.0,100.0,0.0,1
line_17_17,samples\line_17_17.npz,faulted,line,17,13,14,100.0,100.0,0.0,1
line_18_18,samples\line_18_18.npz,faulted,line,18,11,15,100.0,100.0,0.0,1
line_19_19,samples\line_19_19.npz,faulted,line,19,14,16,99.15254237288136,100.0,0.0,1
line_20_20,samples\line_20_20.npz,faulted,line,20,15,16,100.0,100.0,0.0,1
line_21_21,samples\line_21_21.npz,faulted,line,21,16,17,99.15254237288136,100.0,0.0,1
line_22_22,samples\line_22_22.npz,faulted,line,22,17,18,100.0,100.0,0.0,1
line_23_23,samples\line_23_23.npz,faulted,line,23,18,19,100.0,100.0,0.0,1
line_24_24,samples\line_24_24.npz,faulted,line,24,14,18,100.0,100.0,0.0,1
line_25_25,samples\line_25_25.npz,faulted,line,25,19,20,99.15254237288136,100.0,1.0,1
line_26_26,samples\line_26_26.npz,faulted,line,26,20,21,100.0,100.0,0.0,1
line_27_27,samples\line_27_27.npz,faulted,line,27,21,22,99.15254237288136,100.0,2.0,1
line_28_28,samples\line_28_28.npz,faulted,line,28,22,23,99.15254237288136,100.0,1.0,1
line_29_29,samples\line_29_29.npz,faulted,line,29,22,24,100.0,100.0,2.0,1
