sample_id,file,scenario_type,kind,idx,failed_u,failed_v,coverage_fixed_%,coverage_reopt_%,delta_pmus,components
intact,samples\intact.npz,intact,,,,,100.0,100.0,0.0,1
line_0_0,samples\line_0_0.npz,faulted,line,0,0,1,85.71428571428571,100.0,0.0,2
line_1_1,samples\line_1_1.npz,faulted,line,1,0,4,85.71428571428571,100.0,-1.0,2
line_2_2,samples\line_2_2.npz,faulted,line,2,1,2,85.71428571428571,100.0,0.0,3
line_3_3,samples\line_3_3.npz,faulted,line,3,1,3,85.71428571428571,100.0,0.0,2
line_4_4,samples\line_4_4.npz,faulted,line,4,1,4,85.71428571428571,100.0,-1.0,2
line_5_5,samples\line_5_5.npz,faulted,line,5,2,3,85.71428571428571,100.0,-1.0,2
line_6_6,samples\line_6_6.npz,faulted,line,6,3,4,85.71428571428571,100.0,-1.0,2
line_7_7,samples\line_7_7.npz,faulted,line,7,5,10,78.57142857142857,100.0,0.0,2
line_8_8,samples\line_8_8.npz,faulted,line,8,5,11,78.57142857142857,100.0,0.0,2
line_9_9,samples\line_9_9.npz,faulted,line,9,5,12,78.57142857142857,100.0,0.0,2
line_10_10,samples\line_10_10.npz,faulted,line,10,8,9,78.57142857142857,100.0,0.0,2
line_11_11,samples\line_11_11.npz,faulted,line,11,8,13,78.57142857142857,100.0,0.0,2
line_12_12,samples\line_12_12.npz,faulted,line,12,9,10,85.71428571428571,100.0,-1.0,2
line_13_13,samples\line_13_13.npz,faulted,line,13,11,12,85.71428571428571,100.0,-1.0,2
line_14_14,samples\line_14_14.npz,faulted,line,14,12,13,85.71428571428571,100.0,-1.0,2
trafo_0_15,samples\trafo_0_15.npz,faulted,trafo,0,3,6,85.71428571428571,100.0,-1.0,2
trafo_1_16,samples\trafo_1_16.npz,faulted,trafo,1,3,8,85.71428571428571,100.0,-1.0,2
trafo_2_17,samples\trafo_2_17.npz,faulted,trafo,2,4,5,85.71428571428571,100.0,0.0,2
trafo_3_18,samples\trafo_3_18.npz,faulted,trafo,3,6,7,85.71428571428571,100.0,-1.0,2
trafo_4_19,samples\trafo_4_19.npz,faulted,trafo,4,6,8,85.71428571428571,100.0,0.0,2
line_0_20,samples\line_0_20.npz,faulted,line,0,0,1,100.0,100.0,0.0,1
line_1_21,samples\line_1_21.npz,faulted,line,1,0,4,100.0,100.0,0.0,2
line_2_22,samples\line_2_22.npz,faulted,line,2,1,2,100.0,100.0,0.0,1
line_3_23,samples\line_3_23.npz,faulted,line,3,1,3,92.85714285714286,100.0,0.0,1
line_4_24,samples\line_4_24.npz,faulted,line,4,1,4,100.0,100.0,0.0,1
line_5_25,samples\line_5_25.npz,faulted,line,5,2,3,92.85714285714286,100.0,1.0,1
line_6_26,samples\line_6_26.npz,faulted,line,6,3,4,100.0,100.0,0.0,1
line_7_27,samples\line_7_27.npz,faulted,line,7,5,10,92.85714285714286,100.0,0.0,1
line_8_28,samples\line_8_28.npz,faulted,line,8,5,11,92.85714285714286,100.0,0.0,1
line_9_29,samples\line_9_29.npz,faulted,line,9,5,12,92.85714285714286,100.0,1.0,1
line_10_30,samples\line_10_30.npz,faulted,line,10,8,9,92.85714285714286,100.0,1.0,1
line_11_31,samples\line_11_31.npz,faulted,line,11,8,13,92.85714285714286,100.0,1.0,1
line_12_32,samples\line_12_32.npz,faulted,line,12,9,10,100.0,100.0,0.0,1
line_13_33,samples\line_13_33.npz,faulted,line,13,11,12,100.0,100.0,0.0,1
line_14_34,samples\line_14_34.npz,faulted,line,14,12,13,100.0,100.0,0.0,1
trafo_0_35,samples\trafo_0_35.npz,faulted,trafo,0,3,6,100.0,100.0,0.0,1
trafo_1_36,samples\trafo_1_36.npz,faulted,trafo,1,3,8,100.0,100.0,0.0,1
trafo_2_37,samples\trafo_2_37.npz,faulted,trafo,2,4,5,100.0,100.0,0.0,1
trafo_3_38,samples\trafo_3_38.npz,faulted,trafo,3,6,7,92.85714285714286,100.0,0.0,2
trafo_4_39,samples\trafo_4_39.npz,faulted,trafo,4,6,8,100.0,100.0,0.0,1
line_0_40,samples\line_0_40.npz,faulted,line,0,0,1,92.85714285714286,100.0,0.0,1
line_1_41,samples\line_1_41.npz,faulted,line,1,0,4,92.85714285714286,100.0,-1.0,1
line_2_42,samples\line_2_42.npz,faulted,line,2,1,2,92.85714285714286,100.0,0.0,2
line_3_43,samples\line_3_43.npz,faulted,line,3,1,3,92.85714285714286,100.0,0.0,1
line_4_44,samples\line_4_44.npz,faulted,line,4,1,4,92.85714285714286,100.0,-1.0,1
line_5_45,samples\line_5_45.npz,faulted,line,5,2,3,92.85714285714286,100.0,-1.0,1
line_6_46,samples\line_6_46.npz,faulted,line,6,3,4,92.85714285714286,100.0,-1.0,1
line_7_47,samples\line_7_47.npz,faulted,line,7,5,10,85.71428571428571,100.0,0.0,1
line_8_48,samples\line_8_48.npz,faulted,line,8,5,11,85.71428571428571,100.0,0.0,1
line_9_49,samples\line_9_49.npz,faulted,line,9,5,12,85.71428571428571,100.0,0.0,1
line_10_50,samples\line_10_50.npz,faulted,line,10,8,9,85.71428571428571,100.0,0.0,1
line_11_51,samples\line_11_51.npz,faulted,line,11,8,13,85.71428571428571,100.0,0.0,1
line_12_52,samples\line_12_52.npz,faulted,line,12,9,10,92.85714285714286,100.0,-1.0,1
line_13_53,samples\line_13_53.npz,faulted,line,13,11,12,92.85714285714286,100.0,-1.0,1
line_14_54,samples\line_14_54.npz,faulted,line,14,12,13,92.85714285714286,100.0,-1.0,1
trafo_0_55,samples\trafo_0_55.npz,faulted,trafo,0,3,6,92.85714285714286,100.0,-1.0,1
trafo_1_56,samples\trafo_1_56.npz,faulted,trafo,1,3,8,92.85714285714286,100.0,-1.0,1
trafo_2_57,samples\trafo_2_57.npz,faulted,trafo,2,4,5,92.85714285714286,100.0,-1.0,1
trafo_3_58,samples\trafo_3_58.npz,faulted,trafo,3,6,7,85.71428571428571,100.0,-1.0,2
trafo_4_59,samples\trafo_4_59.npz,faulted,trafo,4,6,8,92.85714285714286,100.0,-1.0,1
line_0_60,samples\line_0_60.npz,faulted,line,0,0,1,85.71428571428571,100.0,0.0,2
line_1_61,samples\line_1_61.npz,faulted,line,1,0,4,85.71428571428571,100.0,0.0,2
line_2_62,samples\line_2_62.npz,faulted,line,2,1,2,85.71428571428571,100.0,0.0,2
line_3_63,samples\line_3_63.npz,faulted,line,3,1,3,85.71428571428571,100.0,0.0,2
line_4_64,samples\line_4_64.npz,faulted,line,4,1,4,85.71428571428571,100.0,0.0,2
line_5_65,samples\line_5_65.npz,faulted,line,5,2,3,78.57142857142857,100.0,1.0,3
line_6_66,samples\line_6_66.npz,faulted,line,6,3,4,85.71428571428571,100.0,0.0,2
line_7_67,samples\line_7_67.npz,faulted,line,7,5,10,78.57142857142857,100.0,0.0,2
line_8_68,samples\line_8_68.npz,faulted,line,8,5,11,85.71428571428571,100.0,0.0,2
line_9_69,samples\line_9_69.npz,faulted,line,9,5,12,78.57142857142857,100.0,0.0,2
line_10_70,samples\line_10_70.npz,faulted,line,10,8,9,78.57142857142857,100.0,0.0,2
line_11_71,samples\line_11_71.npz,faulted,line,11,8,13,78.57142857142857,100.0,0.0,2
line_12_72,samples\line_12_72.npz,faulted,line,12,9,10,85.71428571428571,100.0,1.0,2
line_13_73,samples\line_13_73.npz,faulted,line,13,11,12,85.71428571428571,100.0,1.0,3
line_14_74,samples\line_14_74.npz,faulted,line,14,12,13,85.71428571428571,100.0,1.0,2
trafo_0_75,samples\trafo_0_75.npz,faulted,trafo,0,3,6,85.71428571428571,100.0,1.0,3
trafo_1_76,samples\trafo_1_76.npz,faulted,trafo,1,3,8,85.71428571428571,100.0,0.0,3
trafo_2_77,samples\trafo_2_77.npz,faulted,trafo,2,4,5,85.71428571428571,100.0,0.0,2
trafo_3_78,samples\trafo_3_78.npz,faulted,trafo,3,6,7,85.71428571428571,100.0,0.0,2
trafo_4_79,samples\trafo_4_79.npz,faulted,trafo,4,6,8,85.71428571428571,100.0,0.0,2
line_0_80,samples\line_0_80.npz,faulted,line,0,0,1,85.71428571428571,100.0,1.0,2
line_1_81,samples\line_1_81.npz,faulted,line,1,0,4,85.71428571428571,100.0,0.0,2
line_2_82,samples\line_2_82.npz,faulted,line,2,1,2,85.71428571428571,100.0,1.0,3
line_3_83,samples\line_3_83.npz,faulted,line,3,1,3,85.71428571428571,100.0,0.0,2
line_4_84,samples\line_4_84.npz,faulted,line,4,1,4,85.71428571428571,100.0,1.0,2
line_5_85,samples\line_5_85.npz,faulted,line,5,2,3,85.71428571428571,100.0,0.0,2
line_6_86,samples\line_6_86.npz,faulted,line,6,3,4,85.71428571428571,100.0,0.0,2
line_7_87,samples\line_7_87.npz,faulted,line,7,5,10,78.57142857142857,100.0,0.0,3
line_8_88,samples\line_8_88.npz,faulted,line,8,5,11,78.57142857142857,100.0,0.0,3
line_9_89,samples\line_9_89.npz,faulted,line,9,5,12,85.71428571428571,100.0,0.0,2
line_10_90,samples\line_10_90.npz,faulted,line,10,8,9,78.57142857142857,100.0,0.0,3
line_11_91,samples\line_11_91.npz,faulted,line,11,8,13,78.57142857142857,100.0,0.0,3
line_12_92,samples\line_12_92.npz,faulted,line,12,9,10,85.71428571428571,100.0,0.0,2
line_13_93,samples\line_13_93.npz,faulted,line,13,11,12,85.71428571428571,100.0,0.0,3
line_14_94,samples\line_14_94.npz,faulted,line,14,12,13,85.71428571428571,100.0,0.0,3
trafo_0_95,samples\trafo_0_95.npz,faulted,trafo,0,3,6,85.71428571428571,100.0,0.0,2
trafo_1_96,samples\trafo_1_96.npz,faulted,trafo,1,3,8,85.71428571428571,100.0,0.0,3
trafo_2_97,samples\trafo_2_97.npz,faulted,trafo,2,4,5,85.71428571428571,100.0,0.0,2
trafo_3_98,samples\trafo_3_98.npz,faulted,trafo,3,6,7,78.57142857142857,100.0,1.0,3
trafo_4_99,samples\trafo_4_99.npz,faulted,trafo,4,6,8,85.71428571428571,100.0,0.0,2
line_0_100,samples\line_0_100.npz,faulted,line,0,0,1,85.71428571428571,100.0,1.0,3
line_1_101,samples\line_1_101.npz,faulted,line,1,0,4,78.57142857142857,100.0,0.0,3
line_2_102,samples\line_2_102.npz,faulted,line,2,1,2,85.71428571428571,100.0,1.0,3
line_3_103,samples\line_3_103.npz,faulted,line,3,1,3,85.71428571428571,100.0,0.0,3
line_4_104,samples\line_4_104.npz,faulted,line,4,1,4,85.71428571428571,100.0,1.0,3
line_5_105,samples\line_5_105.npz,faulted,line,5,2,3,78.57142857142857,100.0,0.0,3
line_6_106,samples\line_6_106.npz,faulted,line,6,3,4,85.71428571428571,100.0,0.0,3
line_7_107,samples\line_7_107.npz,faulted,line,7,5,10,78.57142857142857,100.0,0.0,4
line_8_108,samples\line_8_108.npz,faulted,line,8,5,11,78.57142857142857,100.0,1.0,3
line_9_109,samples\line_9_109.npz,faulted,line,9,5,12,78.57142857142857,100.0,1.0,3
line_10_110,samples\line_10_110.npz,faulted,line,10,8,9,85.71428571428571,100.0,0.0,3
line_11_111,samples\line_11_111.npz,faulted,line,11,8,13,78.57142857142857,100.0,1.0,4
line_12_112,samples\line_12_112.npz,faulted,line,12,9,10,85.71428571428571,100.0,0.0,4
line_13_113,samples\line_13_113.npz,faulted,line,13,11,12,85.71428571428571,100.0,0.0,3
line_14_114,samples\line_14_114.npz,faulted,line,14,12,13,85.71428571428571,100.0,0.0,3
trafo_0_115,samples\trafo_0_115.npz,faulted,trafo,0,3,6,85.71428571428571,100.0,0.0,3
trafo_1_116,samples\trafo_1_116.npz,faulted,trafo,1,3,8,85.71428571428571,100.0,0.0,4
trafo_2_117,samples\trafo_2_117.npz,faulted,trafo,2,4,5,85.71428571428571,100.0,0.0,3
trafo_3_118,samples\trafo_3_118.npz,faulted,trafo,3,6,7,85.71428571428571,100.0,0.0,3
trafo_4_119,samples\trafo_4_119.npz,faulted,trafo,4,6,8,85.71428571428571,100.0,1.0,4
line_0_120,samples\line_0_120.npz,faulted,line,0,0,1,100.0,100.0,0.0,1
line_1_121,samples\line_1_121.npz,faulted,line,1,0,4,100.0,100.0,0.0,1
line_2_122,samples\line_2_122.npz,faulted,line,2,1,2,100.0,100.0,0.0,1
line_3_123,samples\line_3_123.npz,faulted,line,3,1,3,100.0,100.0,0.0,1
line_4_124,samples\line_4_124.npz,faulted,line,4,1,4,100.0,100.0,0.0,1
line_5_125,samples\line_5_125.npz,faulted,line,5,2,3,92.85714285714286,100.0,-1.0,1
line_6_126,samples\line_6_126.npz,faulted,line,6,3,4,100.0,100.0,-1.0,1
line_7_127,samples\line_7_127.npz,faulted,line,7,5,10,92.85714285714286,100.0,1.0,2
line_8_128,samples\line_8_128.npz,faulted,line,8,5,11,92.85714285714286,100.0,1.0,1
line_9_129,samples\line_9_129.npz,faulted,line,9,5,12,92.85714285714286,100.0,1.0,1
line_10_130,samples\line_10_130.npz,faulted,line,10,8,9,92.85714285714286,100.0,1.0,2
line_11_131,samples\line_11_131.npz,faulted,line,11,8,13,92.85714285714286,100.0,1.0,2
line_12_132,samples\line_12_132.npz,faulted,line,12,9,10,100.0,100.0,0.0,2
line_13_133,samples\line_13_133.npz,faulted,line,13,11,12,100.0,100.0,0.0,1
line_14_134,samples\line_14_134.npz,faulted,line,14,12,13,100.0,100.0,0.0,1
trafo_0_135,samples\trafo_0_135.npz,faulted,trafo,0,3,6,100.0,100.0,-1.0,1
trafo_1_136,samples\trafo_1_136.npz,faulted,trafo,1,3,8,100.0,100.0,-1.0,1
trafo_2_137,samples\trafo_2_137.npz,faulted,trafo,2,4,5,100.0,100.0,0.0,1
trafo_3_138,samples\trafo_3_138.npz,faulted,trafo,3,6,7,92.85714285714286,100.0,0.0,2
trafo_4_139,samples\trafo_4_139.npz,faulted,trafo,4,6,8,100.0,100.0,0.0,1
line_0_140,samples\line_0_140.npz,faulted,line,0,0,1,92.85714285714286,100.0,0.0,2
line_1_141,samples\line_1_141.npz,faulted,line,1,0,4,92.85714285714286,100.0,-1.0,1
line_2_142,samples\line_2_142.npz,faulted,line,2,1,2,92.85714285714286,100.0,0.0,1
line_3_143,samples\line_3_143.npz,faulted,line,3,1,3,92.85714285714286,100.0,-1.0,1
line_4_144,samples\line_4_144.npz,faulted,line,4,1,4,92.85714285714286,100.0,0.0,2
line_5_145,samples\line_5_145.npz,faulted,line,5,2,3,85.71428571428571,100.0,-1.0,1
line_6_146,samples\line_6_146.npz,faulted,line,6,3,4,92.85714285714286,100.0,-1.0,1
line_7_147,samples\line_7_147.npz,faulted,line,7,5,10,85.71428571428571,100.0,0.0,1
line_8_148,samples\line_8_148.npz,faulted,line,8,5,11,85.71428571428571,100.0,0.0,1
line_9_149,samples\line_9_149.npz,faulted,line,9,5,12,85.71428571428571,100.0,0.0,1
line_10_150,samples\line_10_150.npz,faulted,line,10,8,9,85.71428571428571,100.0,0.0,1
line_11_151,samples\line_11_151.npz,faulted,line,11,8,13,85.71428571428571,100.0,0.0,1
line_12_152,samples\line_12_152.npz,faulted,line,12,9,10,92.85714285714286,100.0,-1.0,1
line_13_153,samples\line_13_153.npz,faulted,line,13,11,12,92.85714285714286,100.0,-1.0,1
