kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,0,0,1,1,0.0,0,100.0,100.0,False
line,1,0,2,1,0.0,0,100.0,100.0,False
line,2,3,4,1,0.0,0,100.0,100.0,False
line,3,2,4,1,0.0,0,100.0,100.0,False
line,4,4,5,1,1.0,1,99.15254237288136,100.0,True
line,5,5,6,1,0.0,0,100.0,100.0,False
line,6,7,8,1,0.0,0,100.0,100.0,False
line,7,8,9,1,1.0,1,99.15254237288136,100.0,True
line,8,3,10,1,0.0,0,100.0,100.0,False
line,9,4,10,1,0.0,0,100.0,100.0,False
line,10,10,11,1,0.0,0,100.0,100.0,False
line,11,1,11,1,0.0,0,100.0,100.0,False
line,12,2,11,1,0.0,0,100.0,100.0,False
line,13,6,11,1,1.0,1,99.15254237288136,100.0,True
line,14,10,12,1,0.0,0,99.15254237288136,100.0,False
line,15,11,13,1,0.0,0,99.15254237288136,100.0,False
line,16,12,14,1,0.0,0,100.0,100.0,False
line,17,13,14,1,0.0,0,100.0,100.0,False
line,18,11,15,1,0.0,0,100.0,100.0,False
line,19,14,16,1,0.0,0,99.15254237288136,100.0,False
line,20,15,16,1,0.0,0,100.0,100.0,False
line,21,16,17,1,0.0,0,99.15254237288136,100.0,False
line,22,17,18,1,0.0,0,100.0,100.0,False
line,23,18,19,1,0.0,0,100.0,100.0,False
line,24,14,18,1,0.0,0,100.0,100.0,False
line,25,19,20,1,1.0,1,99.15254237288136,100.0,True
line,26,20,21,1,0.0,0,100.0,100.0,False
line,27,21,22,1,2.0,2,99.15254237288136,100.0,True
line,28,22,23,1,1.0,1,99.15254237288136,100.0,True
line,29,22,24,1,2.0,2,100.0,100.0,True
line,30,24,26,1,0.0,0,100.0,100.0,False
line,31,26,27,1,-1.0,-1,100.0,100.0,False
line,32,27,28,1,0.0,0,99.15254237288136,100.0,False
line,33,7,29,1,0.0,0,100.0,100.0,False
line,34,25,29,1,0.0,0,100.0,100.0,False
line,35,16,30,1,0.0,0,100.0,100.0,False
line,36,28,30,1,0.0,0,100.0,100.0,False
line,37,22,31,1,2.0,2,100.0,100.0,True
line,38,30,31,1,0.0,0,100.0,100.0,False
line,39,26,31,1,0.0,0,100.0,100.0,False
line,40,14,32,1,0.0,0,100.0,100.0,False
line,41,18,33,1,0.0,0,100.0,100.0,False
line,42,34,35,1,0.0,0,100.0,100.0,False
line,43,34,36,1,1.0,1,99.15254237288136,100.0,True
line,44,32,36,1,0.0,0,99.15254237288136,100.0,False
line,45,33,35,1,1.0,1,99.15254237288136,100.0,True
line,46,33,36,1,0.0,0,100.0,100.0,False
line,47,36,38,1,0.0,0,100.0,100.0,False
line,48,36,39,1,0.0,0,100.0,100.0,False
line,49,29,37,1,0.0,0,100.0,100.0,False
line,50,38,39,1,0.0,0,100.0,100.0,False
line,51,39,40,1,0.0,0,99.15254237288136,100.0,False
line,52,39,41,1,0.0,0,100.0,100.0,False
line,53,40,41,1,0.0,0,100.0,100.0,False
line,54,42,43,1,0.0,0,100.0,100.0,False
line,55,33,42,1,1.0,1,99.15254237288136,100.0,True
line,56,43,44,1,1.0,1,99.15254237288136,100.0,True
line,57,44,45,1,1.0,1,99.15254237288136,100.0,True
line,58,45,46,1,0.0,0,100.0,100.0,False
line,59,45,47,1,0.0,0,100.0,100.0,False
line,60,46,48,1,1.0,1,99.15254237288136,100.0,True
line,61,41,48,1,0.0,0,100.0,100.0,False
line,62,41,48,1,0.0,0,100.0,100.0,False
line,63,44,48,1,1.0,1,100.0,100.0,True
line,64,47,48,1,1.0,1,99.15254237288136,100.0,True
line,65,48,49,1,0.0,0,100.0,100.0,False
line,66,48,50,1,0.0,0,100.0,100.0,False
line,67,50,51,1,-1.0,-1,100.0,100.0,False
line,68,51,52,1,0.0,0,99.15254237288136,100.0,False
line,69,52,53,1,0.0,0,100.0,100.0,False
line,70,48,53,1,0.0,0,100.0,100.0,False
line,71,48,53,1,0.0,0,100.0,100.0,False
line,72,53,54,1,0.0,0,100.0,100.0,False
line,73,53,55,1,0.0,0,100.0,100.0,False
line,74,54,55,1,0.0,0,100.0,100.0,False
line,75,55,56,1,0.0,0,100.0,100.0,False
line,76,49,56,1,0.0,0,99.15254237288136,100.0,False
line,77,55,57,1,0.0,0,100.0,100.0,False
line,78,50,57,1,-1.0,-1,99.15254237288136,100.0,False
line,79,53,58,1,0.0,0,100.0,100.0,False
line,80,55,58,1,0.0,0,100.0,100.0,False
line,81,55,58,1,0.0,0,100.0,100.0,False
line,82,54,58,1,-1.0,-1,99.15254237288136,100.0,False
line,83,58,59,1,-1.0,-1,100.0,100.0,False
line,84,58,60,1,-1.0,-1,100.0,100.0,False
line,85,59,60,1,0.0,0,100.0,100.0,False
line,86,59,61,1,0.0,0,100.0,100.0,False
line,87,60,61,1,0.0,0,100.0,100.0,False
line,88,62,63,1,0.0,0,100.0,100.0,False
line,89,37,64,1,0.0,0,100.0,100.0,False
line,90,63,64,1,0.0,0,100.0,100.0,False
line,91,48,65,1,0.0,0,100.0,100.0,False
line,92,48,65,1,0.0,0,100.0,100.0,False
line,93,61,65,1,0.0,0,100.0,100.0,False
line,94,61,66,1,0.0,0,99.15254237288136,100.0,False
line,95,65,66,1,0.0,0,100.0,100.0,False
line,96,46,68,1,0.0,0,100.0,100.0,False
line,97,48,68,1,0.0,0,100.0,100.0,False
line,98,68,69,1,0.0,0,100.0,100.0,False
line,99,23,69,1,0.0,0,100.0,100.0,False
line,100,69,70,1,0.0,0,100.0,100.0,False
line,101,23,71,1,0.0,0,100.0,100.0,False
line,102,70,71,1,2.0,2,99.15254237288136,100.0,True
line,103,70,72,1,2.0,2,99.15254237288136,100.0,True
line,104,69,73,1,0.0,0,100.0,100.0,False
line,105,69,74,1,0.0,0,100.0,100.0,False
line,106,68,74,1,0.0,0,100.0,100.0,False
line,107,73,74,1,1.0,1,99.15254237288136,100.0,True
line,108,75,76,1,1.0,1,99.15254237288136,100.0,True
line,109,68,76,1,0.0,0,100.0,100.0,False
line,110,74,76,1,1.0,1,100.0,100.0,True
line,111,76,77,1,1.0,1,99.15254237288136,100.0,True
line,112,77,78,1,0.0,0,100.0,100.0,False
