kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,0,265,269,50,0.46,3,99.51333333333334,100.0,True
line,1,270,271,50,0.46,3,99.51333333333334,100.0,True
line,2,270,267,50,0.46,3,99.51333333333334,100.0,True
line,3,270,267,50,0.46,3,99.51333333333334,100.0,True
line,4,272,266,50,0.46,3,99.51333333333334,100.0,True
line,5,272,266,50,0.46,3,99.51333333333334,100.0,True
line,6,266,273,50,0.46,3,99.51333333333334,100.0,True
line,7,273,275,50,0.46,3,99.51333333333334,100.0,True
line,8,271,267,50,0.46,3,99.51333333333334,100.0,True
line,9,267,290,50,0.46,3,99.51333333333334,100.0,True
line,10,290,268,50,0.46,3,99.51333333333334,100.0,True
line,11,272,298,50,0.46,3,99.18666666666667,100.0,True
line,12,0,4,50,0.68,3,99.49333333333334,100.0,True
line,13,1,5,50,0.68,3,99.50666666666666,100.0,True
line,14,1,7,50,0.46,3,99.51333333333334,100.0,True
line,15,2,6,50,0.54,3,99.51333333333334,100.0,True
line,16,2,17,50,-0.18,2,99.18,100.0,False
line,17,2,128,50,0.48,3,99.50666666666666,100.0,True
line,18,3,15,50,0.46,3,99.51333333333334,100.0,True
line,19,4,8,50,0.46,3,99.51333333333334,100.0,True
line,20,6,11,50,-0.24,2,99.51333333333334,100.0,False
line,21,6,109,50,0.46,3,99.51333333333334,100.0,True
line,22,7,10,50,-0.16,2,99.50666666666666,100.0,False
line,23,7,13,50,0.46,3,99.51333333333334,100.0,True
line,24,8,10,50,1.46,4,99.18,100.0,True
line,25,10,12,50,0.54,3,99.50666666666666,100.0,True
line,26,11,19,50,0.52,3,99.51333333333334,100.0,True
line,27,12,18,50,0.46,3,99.51333333333334,100.0,True
line,28,13,14,50,0.48,3,99.18,100.0,True
line,29,14,30,50,0.46,3,99.51333333333334,100.0,True
line,30,14,73,50,0.46,3,99.51333333333334,100.0,True
line,31,14,74,50,0.46,3,99.51333333333334,100.0,True
line,32,15,35,50,-0.36,3,99.50666666666666,100.0,False
line,33,17,19,50,0.46,3,99.51333333333334,100.0,True
line,34,17,71,50,0.46,3,99.51333333333334,100.0,True
line,35,18,20,50,0.48,3,99.51333333333334,100.0,True
line,36,18,25,50,0.44,3,99.51333333333334,100.0,True
line,37,19,22,50,0.46,3,99.51333333333334,100.0,True
line,38,20,21,50,0.52,3,99.51333333333334,100.0,True
line,39,21,23,50,0.52,3,99.51333333333334,100.0,True
line,40,22,230,50,1.48,4,99.18666666666667,100.0,True
line,41,23,24,50,0.5,3,99.51333333333334,100.0,True
line,42,24,25,50,0.48,3,99.50666666666666,100.0,True
line,43,24,231,50,1.22,4,99.18,100.0,True
line,44,26,31,50,0.46,3,99.51333333333334,100.0,True
line,45,26,33,50,0.42,3,99.18,100.0,True
line,46,26,34,50,0.46,3,99.51333333333334,100.0,True
line,47,27,35,50,-0.34,3,99.18,100.0,False
line,48,28,59,50,0.46,3,99.51333333333334,100.0,True
line,49,28,62,50,0.48,3,99.50666666666666,100.0,True
line,50,28,63,50,0.36,2,99.51333333333334,100.0,True
line,51,29,72,50,0.46,3,99.51333333333334,100.0,True
line,52,30,31,50,0.38,3,99.51333333333334,100.0,True
line,53,30,33,50,0.46,3,99.51333333333334,100.0,True
line,54,30,34,50,0.44,3,99.51333333333334,100.0,True
line,55,30,42,50,0.38,3,99.51333333333334,100.0,True
line,56,30,73,50,0.44,3,99.51333333333334,100.0,True
line,57,30,74,50,0.44,3,99.51333333333334,100.0,True
line,58,31,34,50,0.46,3,99.51333333333334,100.0,True
line,59,31,36,50,0.46,3,99.51333333333334,100.0,True
line,60,32,35,50,-0.34,3,99.51333333333334,100.0,False
line,61,33,41,50,0.4,3,99.51333333333334,100.0,True
line,62,34,42,50,0.46,3,99.51333333333334,100.0,True
line,63,34,43,50,0.46,3,99.51333333333334,100.0,True
line,64,35,39,50,0.58,3,99.50666666666666,100.0,True
line,65,36,37,50,0.4,3,99.51333333333334,100.0,True
line,66,36,41,50,0.48,3,99.50666666666666,100.0,True
line,67,36,45,50,0.48,3,99.18,100.0,True
line,68,37,40,50,0.6,4,99.51333333333334,100.0,True
line,69,37,46,50,0.46,3,99.51333333333334,100.0,True
line,70,38,51,50,0.46,3,99.51333333333334,100.0,True
line,71,38,61,50,0.46,3,99.51333333333334,100.0,True
line,72,39,67,50,0.46,3,99.51333333333334,100.0,True
line,73,40,60,50,0.46,3,99.51333333333334,100.0,True
line,74,40,91,50,0.46,3,99.18,100.0,True
line,75,41,86,50,0.46,3,99.51333333333334,100.0,True
line,76,42,43,50,1.36,4,99.18666666666667,100.0,True
line,77,43,44,50,0.46,3,99.51333333333334,100.0,True
line,78,44,47,50,1.38,4,99.18,100.0,True
line,79,45,46,50,0.46,3,99.51333333333334,100.0,True
line,80,46,47,50,0.46,3,99.50666666666666,100.0,True
line,81,47,48,50,1.36,4,99.51333333333334,100.0,True
line,82,48,49,50,1.44,4,99.18,100.0,True
line,83,48,54,50,0.46,3,99.51333333333334,100.0,True
line,84,49,50,50,0.46,3,99.51333333333334,100.0,True
line,85,50,52,50,1.44,4,99.18,100.0,True
line,86,51,53,50,1.46,4,99.18,100.0,True
line,87,53,55,50,0.5,3,99.51333333333334,100.0,True
line,88,53,122,50,0.48,3,99.50666666666666,100.0,True
line,89,54,235,50,0.5,3,99.18,100.0,True
line,90,56,189,50,1.96,4,99.18666666666667,100.0,True
line,91,56,65,50,0.52,4,99.51333333333334,100.0,True
line,92,57,58,50,0.58,4,99.51333333333334,100.0,True
line,93,57,236,50,0.46,3,99.18,100.0,True
