sample_id,file,scenario_type,kind,idx,failed_u,failed_v,coverage_fixed_%,coverage_reopt_%,delta_pmus,components
intact,samples\intact.npz,intact,,,,,100.0,100.0,0.0,1
line_0_0,samples\line_0_0.npz,faulted,line,0,0,1,98.24561403508773,100.0,1.0,1
line_1_1,samples\line_1_1.npz,faulted,line,1,1,2,100.0,100.0,0.0,1
line_2_2,samples\line_2_2.npz,faulted,line,2,2,3,100.0,100.0,0.0,1
line_3_3,samples\line_3_3.npz,faulted,line,3,3,4,98.24561403508773,100.0,1.0,1
line_4_4,samples\line_4_4.npz,faulted,line,4,3,5,98.24561403508773,100.0,1.0,1
line_5_5,samples\line_5_5.npz,faulted,line,5,5,6,100.0,100.0,0.0,1
line_6_6,samples\line_6_6.npz,faulted,line,6,5,7,100.0,100.0,0.0,1
line_7_7,samples\line_7_7.npz,faulted,line,7,7,8,98.24561403508773,100.0,1.0,1
line_8_8,samples\line_8_8.npz,faulted,line,8,8,9,98.24561403508773,100.0,1.0,1
line_9_9,samples\line_9_9.npz,faulted,line,9,8,10,100.0,100.0,1.0,1
line_10_10,samples\line_10_10.npz,faulted,line,10,8,11,98.24561403508773,100.0,1.0,1
line_11_11,samples\line_11_11.npz,faulted,line,11,8,12,100.0,100.0,0.0,1
line_12_12,samples\line_12_12.npz,faulted,line,12,12,13,100.0,100.0,0.0,1
line_13_13,samples\line_13_13.npz,faulted,line,13,12,14,100.0,100.0,0.0,1
line_14_14,samples\line_14_14.npz,faulted,line,14,0,14,100.0,100.0,1.0,1
line_15_15,samples\line_15_15.npz,faulted,line,15,0,15,98.24561403508773,100.0,1.0,1
line_16_16,samples\line_16_16.npz,faulted,line,16,0,16,98.24561403508773,100.0,1.0,1
line_17_17,samples\line_17_17.npz,faulted,line,17,2,14,100.0,100.0,0.0,1
line_18_18,samples\line_18_18.npz,faulted,line,18,4,5,100.0,100.0,0.0,1
line_19_19,samples\line_19_19.npz,faulted,line,19,6,7,100.0,100.0,0.0,1
line_20_20,samples\line_20_20.npz,faulted,line,20,9,11,100.0,100.0,0.0,1
line_21_21,samples\line_21_21.npz,faulted,line,21,10,12,100.0,100.0,0.0,1
line_22_22,samples\line_22_22.npz,faulted,line,22,11,12,100.0,100.0,0.0,1
line_23_23,samples\line_23_23.npz,faulted,line,23,11,15,100.0,100.0,0.0,1
line_24_24,samples\line_24_24.npz,faulted,line,24,11,16,100.0,100.0,0.0,1
line_25_25,samples\line_25_25.npz,faulted,line,25,13,14,100.0,100.0,0.0,1
line_26_26,samples\line_26_26.npz,faulted,line,26,17,18,100.0,100.0,0.0,1
line_27_27,samples\line_27_27.npz,faulted,line,27,18,19,98.24561403508773,100.0,1.0,1
line_28_28,samples\line_28_28.npz,faulted,line,28,20,21,100.0,100.0,0.0,1
line_29_29,samples\line_29_29.npz,faulted,line,29,21,22,100.0,100.0,0.0,1
line_30_30,samples\line_30_30.npz,faulted,line,30,22,23,98.24561403508773,100.0,1.0,1
line_31_31,samples\line_31_31.npz,faulted,line,31,25,26,98.24561403508773,100.0,0.0,1
line_32_32,samples\line_32_32.npz,faulted,line,32,26,27,100.0,100.0,0.0,1
line_33_33,samples\line_33_33.npz,faulted,line,33,27,28,98.24561403508773,100.0,0.0,1
line_34_34,samples\line_34_34.npz,faulted,line,34,24,29,98.24561403508773,100.0,0.0,1
line_35_35,samples\line_35_35.npz,faulted,line,35,29,30,100.0,100.0,0.0,1
line_36_36,samples\line_36_36.npz,faulted,line,36,30,31,98.24561403508773,100.0,0.0,1
line_37_37,samples\line_37_37.npz,faulted,line,37,31,32,98.24561403508773,100.0,0.0,2
line_38_38,samples\line_38_38.npz,faulted,line,38,33,34,100.0,100.0,0.0,1
line_39_39,samples\line_39_39.npz,faulted,line,39,34,35,100.0,100.0,0.0,1
line_40_40,samples\line_40_40.npz,faulted,line,40,35,36,100.0,100.0,0.0,1
line_41_41,samples\line_41_41.npz,faulted,line,41,36,37,100.0,100.0,0.0,1
line_42_42,samples\line_42_42.npz,faulted,line,42,36,38,98.24561403508773,100.0,0.0,1
line_43_43,samples\line_43_43.npz,faulted,line,43,35,39,100.0,100.0,0.0,1
line_44_44,samples\line_44_44.npz,faulted,line,44,21,37,98.24561403508773,100.0,1.0,1
line_45_45,samples\line_45_45.npz,faulted,line,45,40,41,100.0,100.0,0.0,1
line_46_46,samples\line_46_46.npz,faulted,line,46,40,42,100.0,100.0,0.0,1
line_47_47,samples\line_47_47.npz,faulted,line,47,37,43,98.24561403508773,100.0,0.0,1
line_48_48,samples\line_48_48.npz,faulted,line,48,45,46,98.24561403508773,100.0,1.0,1
line_49_49,samples\line_49_49.npz,faulted,line,49,46,47,100.0,100.0,0.0,1
line_50_50,samples\line_50_50.npz,faulted,line,50,47,48,100.0,100.0,0.0,1
line_51_51,samples\line_51_51.npz,faulted,line,51,48,49,100.0,100.0,0.0,1
line_52_52,samples\line_52_52.npz,faulted,line,52,49,50,98.24561403508773,100.0,1.0,1
line_53_53,samples\line_53_53.npz,faulted,line,53,28,51,100.0,100.0,0.0,1
line_54_54,samples\line_54_54.npz,faulted,line,54,51,52,100.0,100.0,0.0,1
line_55_55,samples\line_55_55.npz,faulted,line,55,52,53,98.24561403508773,100.0,1.0,1
line_56_56,samples\line_56_56.npz,faulted,line,56,53,54,100.0,100.0,0.0,1
line_57_57,samples\line_57_57.npz,faulted,line,57,43,44,100.0,100.0,0.0,1
line_58_58,samples\line_58_58.npz,faulted,line,58,55,40,100.0,100.0,0.0,1
line_59_59,samples\line_59_59.npz,faulted,line,59,55,41,98.24561403508773,100.0,-1.0,1
line_60_60,samples\line_60_60.npz,faulted,line,60,56,55,98.24561403508773,100.0,-1.0,1
line_61_61,samples\line_61_61.npz,faulted,line,61,37,48,100.0,100.0,0.0,1
line_62_62,samples\line_62_62.npz,faulted,line,62,37,47,98.24561403508773,100.0,1.0,1
trafo_0_63,samples\trafo_0_63.npz,faulted,trafo,0,17,3,100.0,100.0,0.0,1
trafo_1_64,samples\trafo_1_64.npz,faulted,trafo,1,17,3,100.0,100.0,0.0,1
trafo_2_65,samples\trafo_2_65.npz,faulted,trafo,2,19,20,98.24561403508773,100.0,1.0,1
trafo_3_66,samples\trafo_3_66.npz,faulted,trafo,3,24,23,100.0,100.0,0.0,1
trafo_4_67,samples\trafo_4_67.npz,faulted,trafo,4,24,23,100.0,100.0,0.0,1
trafo_5_68,samples\trafo_5_68.npz,faulted,trafo,5,25,23,100.0,100.0,0.0,1
trafo_6_69,samples\trafo_6_69.npz,faulted,trafo,6,28,6,98.24561403508773,100.0,0.0,1
trafo_7_70,samples\trafo_7_70.npz,faulted,trafo,7,31,33,100.0,100.0,0.0,1
trafo_8_71,samples\trafo_8_71.npz,faulted,trafo,8,40,10,100.0,100.0,0.0,1
trafo_9_72,samples\trafo_9_72.npz,faulted,trafo,9,44,14,98.24561403508773,100.0,0.0,1
trafo_10_73,samples\trafo_10_73.npz,faulted,trafo,10,45,13,100.0,100.0,0.0,1
trafo_11_74,samples\trafo_11_74.npz,faulted,trafo,11,50,9,100.0,100.0,0.0,1
trafo_12_75,samples\trafo_12_75.npz,faulted,trafo,12,48,12,100.0,100.0,0.0,1
trafo_13_76,samples\trafo_13_76.npz,faulted,trafo,13,42,10,98.24561403508773,100.0,0.0,1
trafo_14_77,samples\trafo_14_77.npz,faulted,trafo,14,55,39,98.24561403508773,100.0,-1.0,1
trafo_15_78,samples\trafo_15_78.npz,faulted,trafo,15,56,38,100.0,100.0,0.0,1
trafo_16_79,samples\trafo_16_79.npz,faulted,trafo,16,54,8,98.24561403508773,100.0,1.0,1
