kind,idx,nodes,edges,components,coverage_fixed_%,pmus_fixed,coverage_reopt_%,pmus_reopt,delta_pmus,greedy_time_s,pmus_reopt_list,failed_u,failed_v,keeps_100%
line,0,118,178,1,100.0,36,100.0,36,0,0.008924199995817617,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",0,1,True
line,1,118,178,1,100.0,36,100.0,36,0,0.00604639999801293,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",0,2,True
line,2,118,178,1,100.0,36,100.0,36,0,0.006298299995251,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",3,4,True
line,3,118,178,1,100.0,36,100.0,36,0,0.005590900022070855,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",2,4,True
line,4,118,178,1,99.15254237288136,36,100.0,37,1,0.004932699986966327,"[0, 4, 5, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",4,5,False
line,5,118,178,1,100.0,36,100.0,36,0,0.005725100025301799,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",5,6,True
line,6,118,178,2,100.0,36,100.0,36,0,0.004696399992099032,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",7,8,True
line,7,118,178,2,99.15254237288136,36,100.0,37,1,0.00487299999804236,"[0, 4, 7, 9, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",8,9,False
line,8,118,178,1,100.0,36,100.0,36,0,0.004120600002352148,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",3,10,True
line,9,118,178,1,100.0,36,100.0,36,0,0.0033137999998871237,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",4,10,True
line,10,118,178,1,100.0,36,100.0,36,0,0.003312999993795529,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",10,11,True
