kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,0,0,1,50,0.5,2,90.14285714285714,100.0,True
line,1,0,4,50,-0.04,1,90.57142857142857,100.0,False
line,2,1,2,50,0.46,2,90.85714285714286,100.0,True
line,3,1,3,50,0.2,2,90.28571428571429,100.0,True
line,4,1,4,50,0.36,2,90.85714285714286,100.0,True
line,5,2,3,50,-0.04,1,84.85714285714286,100.0,False
line,6,3,4,50,-0.18,1,90.42857142857143,100.0,False
line,7,5,10,50,0.3,2,84.28571428571428,100.0,True
line,8,5,11,50,0.34,2,85.14285714285714,100.0,True
line,9,5,12,50,0.54,2,85.0,100.0,True
line,10,8,9,50,0.64,2,84.0,100.0,True
line,11,8,13,50,0.52,2,85.0,100.0,True
line,12,9,10,50,0.1,1,90.85714285714286,100.0,True
line,13,11,12,50,0.2,2,90.85714285714286,100.0,True
line,14,12,13,50,0.18,2,90.85714285714286,100.0,True
trafo,0,3,6,50,-0.04,1,90.85714285714286,100.0,False
trafo,1,3,8,50,-0.14,1,90.85714285714286,100.0,False
trafo,2,4,5,50,-0.02,1,90.85714285714286,100.0,False
trafo,3,6,7,50,0.22,2,86.42857142857143,100.0,True
trafo,4,6,8,50,0.06,2,90.85714285714286,100.0,True
